Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions,Save% (Penalty Kicks)
Sherel Floranus,CUW,DF,27,Zwolle,Eredivisie,0.04,0.08,0.12,0.04,0.00,0.00,0.15,0.00,0.05,0.05,0.07,0.12,1.54,2.70,3.74,Shooting,Per 90,0.27,0.12,42.9%,0.14,0.33,11.70,0.00,0.20,-0.02,-0.02,Passing,36.12,44.87,80.5%,606.16,210.89,17.06,18.91,90.2%,15.25,18.60,82.0%,3.04,5.55,54.9%,0.07,0.46,1.77,0.65,0.35,Pass Types,35.24,9.59,1.69,0.08,0.04,1.31,7.89,0.00,0.00,0.00,0.00,0.04,0.77,Goal and Shot Creation,1.12,0.92,0.12,0.08,0.00,0.00,0.00,0.19,0.15,0.04,0.00,0.00,0.00,0.00,Defense,1.46,0.96,0.85,0.50,0.12,0.85,1.66,51.2%,0.81,0.89,0.12,1.39,2.85,3.77,0.00,Possession,56.03,3.89,21.14,22.30,13.21,1.16,56.03,1.27,0.42,33.3%,0.77,60.6%,24.69,124.31,61.77,1.16,0.15,1.23,0.58,27.73,Miscellaneous Stats,0.00,0.50,0.62,0.19,0.00,0.00,0.00,4.35,0.65,1.12,37.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Fosso,SUI,MF,23,Fortuna Sittard,Eredivisie,0.03,0.07,0.10,0.03,0.00,0.00,0.20,0.00,0.05,0.05,0.10,0.15,0.63,3.17,0.56,Shooting,Per 90,0.66,0.07,10.0%,0.05,0.50,24.90,0.00,0.08,-0.02,-0.02,Passing,37.82,43.30,87.3%,610.35,161.04,18.40,19.72,93.3%,16.41,18.17,90.4%,2.05,3.57,57.4%,0.09,0.69,3.17,0.43,0.10,Pass Types,41.95,1.29,1.09,0.13,0.36,0.10,0.17,0.03,0.00,0.00,0.00,0.07,0.76,Goal and Shot Creation,1.75,1.42,0.03,0.10,0.07,0.03,0.10,0.10,0.07,0.00,0.03,0.00,0.00,0.00,Defense,1.85,1.06,0.73,0.86,0.26,0.83,1.55,53.2%,0.73,1.02,0.26,1.62,3.47,1.68,0.10,Possession,53.11,3.10,14.76,31.90,6.97,0.33,53.11,1.02,0.46,45.2%,0.43,41.9%,29.82,142.22,58.46,0.73,0.10,1.26,0.76,32.60,Miscellaneous Stats,0.00,0.96,1.26,0.03,0.00,0.00,0.03,5.85,0.56,0.76,42.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Gaaei,DEN,DF,23,Ajax,Eredivisie,0.09,0.28,0.37,0.09,0.00,0.00,0.14,0.05,0.04,0.04,0.30,0.34,3.51,4.96,7.90,Shooting,Per 90,1.08,0.47,43.5%,0.09,0.20,21.70,0.19,0.04,+0.05,+0.05,Passing,47.13,60.59,77.8%,797.10,260.28,22.63,24.73,91.5%,19.78,24.55,80.6%,3.88,8.51,45.6%,0.29,1.82,3.74,1.78,0.84,Pass Types,50.63,9.91,1.73,0.14,0.61,6.78,6.78,1.40,1.03,0.09,0.00,0.05,0.61,Goal and Shot Creation,3.23,2.76,0.28,0.00,0.19,0.00,0.00,0.33,0.28,0.05,0.00,0.00,0.00,0.00,Defense,1.31,0.84,0.65,0.47,0.19,0.89,1.17,76.0%,0.28,0.75,0.14,0.75,2.06,2.81,0.00,Possession,69.90,2.52,19.12,26.14,25.29,2.06,69.90,1.03,0.42,40.9%,0.56,54.5%,35.58,220.44,114.59,1.92,0.56,1.03,0.79,44.46,Miscellaneous Stats,0.00,0.75,0.42,0.09,0.00,0.00,0.00,3.88,1.45,0.98,59.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anselmo García MacNulty,IRL,DF,22,Zwolle,Eredivisie,0.03,0.00,0.03,0.03,0.00,0.00,0.21,0.03,0.05,0.05,0.02,0.07,0.58,3.87,0.40,Shooting,Per 90,0.40,0.09,23.1%,0.08,0.33,11.80,0.00,0.14,-0.02,-0.02,Passing,41.39,49.16,84.2%,826.71,323.13,12.93,13.88,93.2%,23.54,25.62,91.9%,4.51,8.84,51.0%,0.04,0.24,3.75,0.40,0.06,Pass Types,46.85,2.23,1.28,0.09,0.31,0.37,0.09,0.00,0.00,0.00,0.00,0.09,0.46,Goal and Shot Creation,0.85,0.76,0.00,0.00,0.03,0.06,0.00,0.09,0.06,0.00,0.00,0.00,0.03,0.00,Defense,1.28,0.61,0.91,0.34,0.03,0.76,1.04,73.5%,0.27,1.28,0.82,0.79,2.07,6.28,0.03,Possession,60.97,9.42,32.33,26.23,2.65,0.76,60.97,0.18,0.15,83.3%,0.03,16.7%,32.05,156.24,78.72,0.46,0.00,0.46,0.12,39.50,Miscellaneous Stats,0.03,1.16,0.49,0.03,0.00,0.06,0.00,3.32,1.71,1.49,53.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarek Gasiorowski,ESP,DF,21,PSV Eindhoven,Eredivisie,0.20,0.07,0.27,0.20,0.00,0.00,0.00,0.00,0.11,0.11,0.01,0.12,0.53,3.74,0.07,Shooting,Per 90,0.53,0.27,50.0%,0.38,0.75,8.20,0.00,0.20,+0.09,+0.09,Passing,61.56,67.10,91.7%,1118.12,376.89,21.23,22.90,92.7%,35.59,37.46,95.0%,3.81,5.07,75.0%,0.02,0.13,4.67,0.13,0.00,Pass Types,63.56,3.34,1.00,0.07,0.07,0.00,0.33,0.00,0.00,0.00,0.00,0.20,1.07,Goal and Shot Creation,0.60,0.53,0.00,0.00,0.07,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Defense,1.07,0.67,0.47,0.53,0.07,0.67,0.80,83.3%,0.13,2.00,0.93,1.60,2.67,5.07,0.13,Possession,79.18,9.88,34.12,42.20,3.00,1.07,79.18,0.53,0.27,50.0%,0.27,50.0%,48.61,230.07,115.84,0.60,0.13,0.40,0.07,57.02,Miscellaneous Stats,0.00,0.80,0.40,0.00,0.00,0.00,0.00,2.67,2.34,1.07,68.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stijn van Gassel,NED,GK,29,Excelsior,Eredivisie,,,,,,0.21,,,,,,,,,,,Per 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,5.93,4.40,76.5%,0.42,0.07,0.56,0.21,21.4%,0.14,0.00,0.07,Advanced Goalkeeping,0.07,0.21,0.00,1.83,0.30,+0.31,12.71,31.28,40.6%,42.59,3.84,54.4%,42.4,9.01,89.9%,60.3,15.71,0.84,5.3%,1.61,14.5,0.0%
Tristan van Gilst,NED,"FW,MF",22,Heracles Almelo,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.05,0.05,0.01,0.08,1.32,1.19,1.98,Shooting,Per 90,0.79,0.13,16.7%,0.00,0.00,19.30,0.00,0.07,-0.05,-0.05,Passing,9.12,14.14,64.5%,130.04,26.96,5.15,6.48,79.6%,3.04,3.96,76.7%,0.40,0.79,50.0%,0.04,0.26,0.93,0.26,0.00,Pass Types,14.01,0.13,0.00,0.13,0.00,0.40,0.13,0.00,0.00,0.00,0.00,0.00,1.19,Goal and Shot Creation,0.93,0.66,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,0.66,0.53,0.26,0.40,0.00,0.40,0.66,60.0%,0.26,1.32,0.13,0.66,1.32,1.98,0.00,Possession,22.47,1.19,5.82,10.44,6.74,1.45,22.47,0.93,0.13,14.3%,0.66,71.4%,10.31,74.80,32.51,0.79,0.26,0.93,1.06,11.50,Miscellaneous Stats,0.00,0.26,0.79,0.00,0.00,0.00,0.00,3.04,1.59,1.72,48.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Gloukh,ISR,"MF,FW",21,Ajax,Eredivisie,0.39,0.39,0.78,0.39,0.00,0.00,0.16,0.00,0.27,0.27,0.15,0.42,3.75,5.71,6.18,Shooting,Per 90,2.74,1.41,51.4%,0.14,0.28,18.80,0.23,0.10,+0.12,+0.12,Passing,39.49,49.11,80.4%,601.30,177.58,23.07,25.65,89.9%,12.67,14.93,84.8%,2.42,4.93,49.2%,0.23,1.72,3.75,1.25,0.00,Pass Types,45.35,3.52,1.09,0.63,0.31,2.81,0.47,1.72,1.02,0.47,0.00,0.23,0.39,Goal and Shot Creation,4.54,3.05,0.70,0.39,0.39,0.00,0.00,0.55,0.39,0.08,0.00,0.08,0.00,0.00,Defense,1.56,0.78,0.47,0.86,0.23,0.70,1.49,47.4%,0.78,0.39,0.00,0.16,1.72,0.23,0.00,Possession,61.15,0.47,5.86,28.23,27.99,4.46,61.15,4.93,2.11,42.9%,2.66,54.0%,40.11,257.65,136.29,3.05,1.56,1.64,2.27,47.70,Miscellaneous Stats,0.00,0.08,1.17,0.00,0.00,0.00,0.00,4.30,0.00,0.39,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mika Godts,BEL,"FW,MF",20,Ajax,Eredivisie,0.39,0.30,0.69,0.39,0.00,0.00,0.13,0.00,0.31,0.31,0.24,0.55,4.46,4.89,9.44,Shooting,Per 90,2.53,1.16,45.8%,0.15,0.33,16.50,0.04,0.12,+0.07,+0.07,Passing,27.21,35.58,76.5%,457.90,119.79,14.08,16.87,83.5%,10.13,12.32,82.2%,2.53,4.08,62.1%,0.29,2.02,1.93,2.49,0.13,Pass Types,34.08,1.46,0.04,0.43,0.52,1.93,0.43,0.82,0.39,0.09,0.00,0.04,1.20,Goal and Shot Creation,3.95,3.00,0.09,0.47,0.26,0.09,0.04,0.47,0.43,0.00,0.04,0.00,0.00,0.00,Defense,1.29,0.56,0.52,0.52,0.26,0.64,1.29,50.0%,0.64,1.29,0.09,0.43,1.72,0.52,0.00,Possession,48.80,0.52,5.41,17.85,26.27,5.24,48.80,5.58,2.58,46.2%,2.92,52.3%,33.13,255.71,129.96,2.27,2.27,2.06,1.89,37.34,Miscellaneous Stats,0.00,0.52,1.37,0.26,0.00,0.00,0.00,3.48,0.26,0.73,26.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wouter Goes,NED,DF,21,AZ Alkmaar,Eredivisie,0.03,0.06,0.09,0.03,0.00,0.00,0.40,0.03,0.01,0.01,0.03,0.04,1.22,5.13,0.40,Shooting,Per 90,0.18,0.06,33.3%,0.17,0.50,13.60,0.00,0.05,+0.02,+0.02,Passing,56.28,63.22,89.0%,1081.86,352.55,19.55,20.61,94.8%,30.36,32.49,93.4%,5.92,9.19,64.5%,0.04,0.40,5.74,0.58,0.00,Pass Types,60.71,2.38,1.80,0.06,0.27,0.12,0.46,0.00,0.00,0.00,0.00,0.12,0.46,Goal and Shot Creation,1.44,1.34,0.00,0.00,0.00,0.06,0.03,0.12,0.12,0.00,0.00,0.00,0.00,0.00,Defense,1.10,0.52,0.61,0.40,0.09,0.55,0.92,60.0%,0.37,1.25,0.79,1.10,2.20,3.82,0.06,Possession,72.32,5.86,28.52,40.31,4.06,0.79,72.32,0.46,0.21,46.7%,0.21,46.7%,45.90,274.52,174.41,1.01,0.00,0.52,0.12,50.94,Miscellaneous Stats,0.00,1.01,1.50,0.06,0.00,0.03,0.00,4.21,0.92,1.13,44.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristan Gooijer,NED,DF,21,Zwolle,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.16,0.02,0.02,0.00,0.02,1.31,1.96,1.31,Shooting,Per 90,0.49,0.33,66.7%,0.00,0.00,23.60,0.00,0.03,-0.02,-0.02,Passing,32.83,37.73,87.0%,564.17,121.03,14.54,15.68,92.7%,14.70,16.50,89.1%,2.78,4.41,63.0%,0.02,0.00,0.98,0.16,0.00,Pass Types,32.18,5.55,1.14,0.16,0.00,0.16,4.41,0.00,0.00,0.00,0.00,0.00,0.98,Goal and Shot Creation,0.65,0.49,0.00,0.16,0.00,0.00,0.00,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Defense,1.80,0.98,0.98,0.65,0.16,0.98,1.14,85.7%,0.16,2.45,1.47,0.82,2.61,5.88,0.00,Possession,54.39,8.33,27.60,20.74,7.02,0.65,54.39,3.10,1.31,42.1%,1.63,52.6%,22.21,135.41,61.74,0.82,0.33,0.65,0.65,27.44,Miscellaneous Stats,0.00,1.63,0.65,0.00,0.00,0.00,0.00,3.59,1.31,0.82,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenzo Goudmijn,NED,"MF,FW",24,Go Ahead Eag,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.08,0.08,0.10,0.19,1.61,5.74,4.84,Shooting,Per 90,1.35,0.32,23.8%,0.00,0.00,21.30,0.00,0.06,-0.08,-0.08,Passing,29.20,42.49,68.7%,528.46,164.79,13.09,16.05,81.5%,11.60,15.80,73.5%,3.74,7.41,50.4%,0.11,1.10,4.00,0.90,0.32,Pass Types,37.84,4.32,1.42,0.32,0.26,4.32,0.58,1.03,0.77,0.26,0.00,0.32,0.90,Goal and Shot Creation,2.77,1.93,0.32,0.13,0.26,0.13,0.00,0.19,0.13,0.00,0.00,0.00,0.06,0.00,Defense,1.35,0.58,0.64,0.64,0.06,0.64,1.93,33.3%,1.29,1.10,0.19,0.45,1.81,0.77,0.06,Possession,52.48,0.97,6.38,26.63,19.79,1.42,52.48,2.06,0.77,37.5%,1.22,59.4%,31.40,144.15,62.47,1.03,0.06,1.74,1.68,35.78,Miscellaneous Stats,0.00,1.22,1.10,0.06,0.00,0.00,0.00,4.06,0.77,1.16,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom de Graaff,NED,GK,21,Zwolle,Eredivisie,,,,,,0.13,,,,,,,,,,,Per 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,6.81,4.63,69.7%,0.31,0.19,0.50,0.25,25.0%,0.13,0.00,0.00,Advanced Goalkeeping,0.00,0.19,0.00,2.17,0.31,-0.02,4.75,17.75,26.8%,29.50,5.19,40.9%,36.1,8.38,67.9%,51.9,19.31,1.06,5.5%,0.44,10.8,0.0%
Simon Graves Jensen,DEN,DF,26,Zwolle,Eredivisie,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.03,0.03,0.01,0.03,0.60,3.78,0.09,Shooting,Per 90,0.21,0.12,57.1%,0.00,0.00,10.00,0.00,0.12,-0.03,-0.03,Passing,45.05,53.23,84.6%,889.15,355.38,14.27,15.37,92.8%,24.91,27.27,91.3%,5.27,9.38,56.2%,0.02,0.18,3.18,0.27,0.00,Pass Types,50.29,2.85,1.47,0.06,0.30,0.03,0.09,0.00,0.00,0.00,0.00,0.09,0.33,Goal and Shot Creation,0.45,0.42,0.03,0.00,0.00,0.00,0.00,0.06,0.03,0.03,0.00,0.00,0.00,0.00,Defense,0.84,0.60,0.60,0.24,0.00,0.51,0.78,65.4%,0.27,1.44,1.11,0.90,1.74,8.60,0.15,Possession,66.02,12.32,35.75,29.04,1.41,0.42,66.02,0.18,0.18,100.0%,0.00,0.0%,33.84,156.23,90.99,0.15,0.00,0.21,0.12,41.09,Miscellaneous Stats,0.00,0.96,0.48,0.06,0.00,0.00,0.00,3.33,2.37,1.59,59.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Greiml,AUT,DF,24,NAC Breda,Eredivisie,0.05,0.00,0.05,0.05,0.00,0.00,0.25,0.05,0.05,0.05,0.06,0.11,0.54,2.27,0.10,Shooting,Per 90,0.84,0.20,23.5%,0.06,0.25,12.80,0.00,0.06,0.00,0.00,Passing,45.84,54.07,84.8%,879.50,296.17,15.18,16.76,90.6%,26.71,29.62,90.2%,3.70,6.80,54.3%,0.08,0.54,3.60,0.20,0.15,Pass Types,52.20,1.77,1.48,0.00,0.39,0.30,0.10,0.00,0.00,0.00,0.00,0.10,0.69,Goal and Shot Creation,1.28,1.23,0.05,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Defense,2.32,1.63,1.77,0.49,0.05,1.43,1.87,76.3%,0.44,2.07,1.38,1.23,3.55,7.69,0.00,Possession,69.89,11.48,35.39,30.26,4.63,2.17,69.89,0.20,0.10,50.0%,0.10,50.0%,37.56,155.06,75.66,0.54,0.00,0.39,0.15,41.99,Miscellaneous Stats,0.00,1.97,0.94,0.05,0.00,0.00,0.00,4.44,4.19,2.81,59.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eser Gürbüz,NED,FW,18,Heerenveen,Eredivisie,0.32,0.16,0.48,0.32,0.00,0.00,0.16,0.00,0.37,0.37,0.11,0.48,3.86,2.09,8.84,Shooting,Per 90,2.73,0.96,35.3%,0.12,0.33,16.70,0.16,0.13,-0.05,-0.05,Passing,15.91,29.25,54.4%,227.25,73.45,8.52,11.09,76.8%,4.66,7.23,64.4%,1.13,5.79,19.4%,0.13,1.29,0.32,1.29,0.48,Pass Types,26.36,2.89,0.48,0.00,0.00,6.43,0.64,1.77,0.64,0.48,0.00,0.00,0.48,Goal and Shot Creation,3.38,1.61,0.32,0.96,0.32,0.16,0.00,0.32,0.16,0.00,0.16,0.00,0.00,0.00,Defense,1.45,0.80,0.48,0.64,0.32,1.13,1.77,63.6%,0.64,0.64,0.16,0.16,1.61,1.13,0.16,Possession,46.93,1.29,7.23,15.59,25.39,4.02,46.93,7.07,3.86,54.5%,2.89,40.9%,28.61,258.27,125.36,2.89,1.77,2.57,2.41,28.77,Miscellaneous Stats,0.00,1.61,1.29,0.32,0.16,0.00,0.00,4.18,1.13,1.13,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anis Hadj Moussa,ALG,FW,23,Feyenoord,Eredivisie,0.35,0.18,0.53,0.35,0.00,0.00,0.11,0.04,0.15,0.15,0.28,0.43,4.44,4.33,9.54,Shooting,Per 90,2.57,0.99,38.4%,0.14,0.36,17.60,0.07,0.06,+0.20,+0.20,Passing,22.96,35.14,65.3%,380.32,120.85,12.57,15.25,82.4%,7.15,11.23,63.6%,2.50,6.02,41.5%,0.35,2.01,1.62,2.11,0.42,Pass Types,30.63,4.44,1.09,0.28,0.53,6.30,0.42,2.92,2.46,0.21,0.00,0.07,1.13,Goal and Shot Creation,4.65,2.57,0.92,0.67,0.32,0.11,0.07,0.63,0.39,0.00,0.14,0.07,0.04,0.00,Defense,1.13,0.70,0.32,0.53,0.28,0.60,1.51,39.5%,0.92,1.13,0.00,0.18,1.30,0.60,0.07,Possession,48.45,0.35,3.49,15.00,30.49,6.06,48.45,4.82,2.18,45.3%,2.36,48.9%,30.53,219.93,116.65,2.11,3.06,2.36,1.83,33.59,Miscellaneous Stats,0.00,0.49,1.41,0.14,0.04,0.00,0.00,3.70,0.25,0.70,25.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alen Halilović,CRO,MF,29,Fortuna Sittard,Eredivisie,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.19,0.37,1.01,2.36,3.55,Shooting,Per 90,1.86,0.51,27.3%,0.00,0.00,19.20,0.17,0.10,-0.19,-0.19,Passing,26.00,33.43,77.8%,460.64,120.56,11.31,13.17,85.9%,8.44,10.81,78.1%,4.22,6.42,65.8%,0.12,1.01,2.87,0.51,0.51,Pass Types,28.71,4.56,2.03,0.17,0.51,3.04,0.17,1.35,0.84,0.34,0.00,0.17,1.01,Goal and Shot Creation,3.04,0.84,1.01,0.00,0.68,0.34,0.17,0.34,0.34,0.00,0.00,0.00,0.00,0.00,Defense,1.86,1.18,0.51,1.01,0.34,1.01,2.03,50.0%,1.01,1.01,0.00,0.51,2.36,0.51,0.00,Possession,42.38,0.17,4.73,23.64,14.86,1.86,42.38,2.20,1.35,61.5%,0.84,38.5%,23.30,138.97,62.98,2.03,0.51,1.35,1.18,28.87,Miscellaneous Stats,0.00,0.68,1.18,0.00,0.00,0.00,0.00,2.36,0.34,1.18,22.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sébastien Haller,CIV,FW,31,Utrecht,Eredivisie,0.23,0.09,0.32,0.23,0.00,0.00,0.05,0.00,0.35,0.35,0.12,0.47,0.74,2.09,4.59,Shooting,Per 90,2.32,0.97,42.0%,0.10,0.24,10.00,0.00,0.15,-0.12,-0.12,Passing,17.91,26.86,66.7%,228.25,50.80,11.04,15.49,71.3%,4.64,6.59,70.4%,0.60,1.07,56.5%,0.07,1.58,1.30,0.46,0.00,Pass Types,25.93,0.74,0.00,0.09,0.09,0.00,0.09,0.00,0.00,0.00,0.00,0.19,0.56,Goal and Shot Creation,2.88,2.32,0.00,0.00,0.28,0.23,0.05,0.32,0.28,0.00,0.00,0.05,0.00,0.00,Defense,0.97,0.42,0.05,0.56,0.37,0.42,1.07,39.1%,0.65,0.65,0.09,0.19,1.16,1.02,0.00,Possession,39.02,1.16,2.64,20.18,16.56,5.80,39.02,1.11,0.37,33.3%,0.65,58.3%,19.67,78.68,25.33,0.65,0.28,3.25,1.48,28.86,Miscellaneous Stats,0.00,1.44,1.99,0.28,0.00,0.00,0.00,2.83,5.85,4.45,56.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Hardeveld,NED,DF,30,Telstar,Eredivisie,0.18,0.23,0.41,0.18,0.00,0.00,0.06,0.00,0.09,0.09,0.28,0.36,1.29,3.75,4.10,Shooting,Per 90,0.76,0.35,46.2%,0.23,0.50,16.30,0.06,0.12,+0.09,+0.09,Passing,34.65,51.19,67.7%,654.39,265.72,14.66,17.00,86.2%,14.95,20.52,72.9%,4.57,11.14,41.1%,0.32,2.05,3.11,1.58,0.82,Pass Types,37.35,13.49,1.64,0.12,0.53,5.92,8.09,2.70,1.52,0.65,0.00,0.35,0.70,Goal and Shot Creation,3.22,2.05,1.06,0.06,0.06,0.00,0.00,0.35,0.23,0.06,0.00,0.06,0.00,0.00,Defense,2.35,1.35,1.70,0.53,0.12,1.06,2.05,51.4%,1.00,1.29,0.59,0.88,3.22,4.16,0.06,Possession,62.74,6.33,21.64,22.93,18.76,1.06,62.74,1.00,0.53,52.9%,0.47,47.1%,25.15,99.09,54.35,0.70,0.12,0.59,0.23,30.78,Miscellaneous Stats,0.00,0.94,0.29,0.06,0.00,0.00,0.00,3.58,0.76,1.17,39.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soufiane Hetli,NED,"FW,MF",24,Telstar,Eredivisie,0.26,0.00,0.26,0.26,0.00,0.09,0.17,0.00,0.36,0.29,0.04,0.32,3.23,2.97,7.69,Shooting,Per 90,3.06,0.61,20.0%,0.09,0.43,17.60,0.00,0.09,-0.10,-0.03,Passing,15.99,20.71,77.2%,258.73,59.68,8.13,9.17,88.6%,6.20,7.95,78.0%,1.22,1.75,70.0%,0.07,0.61,1.05,0.79,0.09,Pass Types,19.92,0.61,0.00,0.00,0.17,0.79,0.09,0.00,0.00,0.00,0.00,0.17,0.44,Goal and Shot Creation,2.18,1.66,0.00,0.17,0.35,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Defense,1.31,1.05,0.52,0.44,0.35,0.96,1.75,55.0%,0.79,0.44,0.00,0.44,1.75,0.61,0.17,Possession,34.43,1.14,4.98,13.89,16.51,3.32,34.34,3.58,0.79,22.0%,2.45,68.3%,23.50,169.25,84.15,2.18,1.14,2.88,2.36,24.73,Miscellaneous Stats,0.00,0.96,2.01,0.52,0.00,0.00,0.00,4.72,0.26,0.87,23.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
